ROSflight Quad BOM,,,,
,,,,
Part,Model,Unit Price,Quantity,Link
Frame,f330 Quadcopter Frame,15.99,1,https://www.amazon.com/Quadcopter-Frame-Heighten-Broaden-Landing/dp/B07M88D8SG/ref=sr_1_fkmr1_1?crid=M387NXR3GN1B&keywords=dji+flamewheel+f330&qid=1550778664&s=electronics&sprefix=DJI+flame%2Celectronics%2C179&sr=1-1-fkmr1
Motors,Emax MT2213-935KV,47.99,1,https://www.amazon.com/MT2213-935KV-Brushless-Motor-Quadcopter-Multirotor/dp/B00N3I9GM4/ref=sr_1_15?keywords=quadcopter+motor&qid=1550779684&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&s=gateway&sr=8-15
ESCs,2 Pcs LittleBee 20A Mini ESC 2-4S Lipo,19.99,2,https://www.amazon.com/LittleBee-Violent-Electric-Control-Quadcopter/dp/B076J5PWDD/ref=sr_1_12?keywords=20A+ESC&qid=1550779173&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&s=gateway&sr=8-12
Flight Controller,Naze32 Flight Controller for Racing Drones Acro 6DOF Rev.6,19.95,1,https://www.amazon.com/gp/product/B06Y5JKKV8/ref=ppx_yo_dt_b_asin_title_o02_s00?ie=UTF8&psc=1
Receiver,FrSky D4R-II,26.99,1,https://www.amazon.com/FrSky-Compatible-Receiver-4-Channel-Telemetry/dp/B01KUNA1PU/ref=sr_1_2?keywords=frsky+d4r-ii&qid=1550778448&s=toys-and-games&sr=1-2
Compute,Raspberry Pi 3 Model B Board,38.95,1,https://www.amazon.com/gp/product/B01LPLPBS8/ref=ppx_yo_dt_b_asin_title_o03_s00?ie=UTF8&psc=1
Battery,Turnigy 3S 2200mah LiPo,25.01,1,https://www.amazon.com/Turnigy-2200mAh-25C-Lipo-Pack/dp/B0072AEYLW/ref=sr_1_27?crid=9A1VB393A7S4&keywords=3s+2200mah+lipo+battery&qid=1550778822&s=gateway&sprefix=3S+2%2Caps%2C189&sr=8-27
Props,RAYCorp 8038 8x3.8 Propellers,11.99,1,https://www.amazon.com/RAYCorp-Propellers-Quadcopter-Multirotors-Battery/dp/B01M02MA6E/ref=sr_1_7?keywords=8+inch+quadcopter+props&qid=1550778882&s=gateway&sr=8-7
Custom 3D Prints,F330 ROSflight parts by Trey Fortmuller,,1,(thingiverse link for download)
M2 Stand Offs,320PCS M2 Male Female Nylon Hex Spacer Standoff,12.99,1,https://www.amazon.com/gp/product/B07D78PFQL/ref=ppx_yo_dt_b_asin_title_o01_s00?ie=UTF8&psc=1
Camera,"Raspberry Pi Camera Module V2-8 Megapixel,1080p",33.99,1,https://www.amazon.com/gp/product/B01ER2SKFS/ref=crt_ewc_title_huc_1?ie=UTF8&psc=1&smid=A30ZYR2W3VAJ0A
,,,,
Not including:,UAVs@B Stock,,,
Transmitter ,TRUE,,,
Wires/Servo leads,TRUE,,,
Power connectors,TRUE,,,
LiPo voltage monitor,TRUE,,,
Battery strap,TRUE,,,
Double sided foam tape,FALSE,4.49,1,https://www.amazon.com/Heavy-Duty-Exterior-Mounting-Tape-Holds/dp/B00004Z4BV/ref=sr_1_10?keywords=double+sided+foam+tape&qid=1550779479&s=gateway&sr=8-10